class	dimension	rho0	seed	primitive_upper
COP	10	2	1	6627856943851304960,-630855749547852416,-765823135368072704,278018613164655712,220193808298917728,365827943682139008,1689779134113142784,618500230170139264,157941848257177376,-33179384383750144,4393831458796160512,-351818068942562688,439213167172802688,1759950400648444672,2137786750578703360,965947422901091968,1174729174487428864,157941848257177376,-33179384383750144,3853961915515280896,1071457350444441216,1934412250276820224,2015215113260771328,1958924883548119040,190790085437206880,157941848257177376,-33179384383750144,2470479120027805696,-2141206898399582464,2470479120027805696,2470479120027805696,-2141206898399582464,157941848257177376,-33179384383750144,2470479120027805696,-2141206898399582464,2470479120027805696,2470479120027805696,157941848257177376,-33179384383750144,2470479120027805696,-2141206898399582464,2470479120027805696,157941848257177376,-33179384383750144,2470479120027805696,-2141206898399582464,157941848257177376,-33179384383750144,2470479120027805696,157941848257177376,-33179384383750144,189808147786195456,-39873646940684352,8376393420904447
COP	10	2	2	3556415220759702536192,-338077766565061197824,1593575605849792184320,110797242089556770816,2313478190797358104576,735243445738981294080,1489407939872218152960,2259165969297722572800,590291706904778637312,-366301481961786176,4176291364936479670272,834374301034624319488,110797242089556770816,1896001861675017568256,1040140375520416890880,2218785939285520941056,1561650641040256008192,1221786595788185141248,-366301481961786176,2337521432947220545536,110797242089556770816,1023375312187274821632,2276767676284018884608,1418924763579469266944,1559698382113535688704,474341812542161289216,-366301481961786176,155610546688589299712,110797242089556770816,110797242089556770816,110797242089556770816,110797242089556770816,110797242089556770816,-514456612691137088,2552190528185034604544,-2170175954684610609152,2552190528185034604544,2552190528185034604544,-2170175954684610609152,-366301481961786176,2552190528185034604544,-2170175954684610609152,2552190528185034604544,2552190528185034604544,-366301481961786176,2552190528185034604544,-2170175954684610609152,2552190528185034604544,-366301481961786176,2552190528185034604544,-2170175954684610609152,-366301481961786176,2552190528185034604544,-366301481961786176,1700820490472875
COP	10	2	3	581320696217382016,20314804940941320,-92294931356470144,231889262086540832,304091605930274112,-2586158050738970,205110606230041536,72501426335129632,298203830937069056,7301954231797797,349233693221810048,24809108372574160,224969879290086176,148946603459695840,-2586158050738970,46720516851108184,100223443721566592,162871251959924608,7301954231797797,351132274797103680,166306957752495904,101969282782351712,-2586158050738970,302130539535584192,72081939726038528,32600248725671160,7301954231797797,305548978804898432,-270911773498525056,-2586158050738970,305548978804898432,305548978804898432,-270911773498525056,7301954231797797,305548978804898432,-2586158050738970,-270911773498525056,305548978804898432,305548978804898432,7301954231797797,2836515068342205,-2586158050738971,-2586158050738971,-2586158050738971,-8008831169820147,305548978804898432,-270911773498525056,305548978804898432,7301954231797797,305548978804898432,-270911773498525056,7301954231797797,305548978804898432,7301954231797797,22612739633415744
COP	10	2	4	1890481154871206144,-332892273884863296,8413610746617773,-307864651654738496,-7704989509231648,760713640186617344,430330119109605184,961707566669682432,934491227844610048,419664682293334592,1860946920992236800,8413610746617773,-576043763528796224,-7704989509231648,396254329902013120,741700352768237056,1011607864457201920,964852188897899136,150698888224780608,64369696143182560,8413610746617781,-58948274222815328,8413610746617781,8413610746617781,8413610746617781,8413610746617781,8413610746617781,1197944478288117504,-7704989509231648,516127099181051584,724719872413617152,743933936185450880,1003361731944145792,593433973632608384,53983461815925680,-7704989509231655,-7704989509231655,-7704989509231655,-7704989509231655,-7704989509231655,1175119600893719296,-1130723408319974656,1175119600893719296,1175119600893719296,-1130723408319974656,1175119600893719296,-1130723408319974656,1175119600893719296,1175119600893719296,1175119600893719296,-1130723408319974656,1175119600893719296,1175119600893719296,-1130723408319974656,1175119600893719296
COP	10	2	5	498163091487860160,-7273552204356573,-95771413268145216,277515513915741888,66932905203625680,7728838892118513,130164760756375248,235506707109882144,147671962227285728,41730297277134288,7233130757136228,-7273552204356572,-7273552204356572,-7273552204356572,-7685887271703226,-7273552204356572,-7273552204356572,-7273552204356572,-7273552204356572,665362887810918400,95484255200006272,264843796768536256,7728838892118513,138434041811747344,15962503813175632,71418485140387664,171973318314117344,491535289093032576,258916187777340224,7728838892118513,294597061802273536,194875873068820896,184805905654978080,142831929943898480,296371550111176896,7728838892118513,-280089202192246592,296371550111176896,296371550111176896,-280089202192246592,8166983998602291,7728838892118513,7728838892118513,7728838892118513,7728838892118513,296371550111176896,-280089202192246592,296371550111176896,296371550111176896,296371550111176896,-280089202192246592,296371550111176896,296371550111176896,-280089202192246592,296371550111176896
COP	10	2	6	7224751360882898944,266916585633613824,2891462615406042624,-289063490478626496,3359679020472502272,2064945491071361280,-26307911837475560,4404278684291911168,1806157124555213568,4686153733021598720,702706660744256896,266916585633613824,266916585633613824,266916585633613824,266916585633613824,-69260382731865152,266916585633613824,266916585633613824,266916585633613824,7224751360882893824,908801603534637312,1589934413332910336,4666024939766206464,-26307911837475560,2497773617210964992,3285729282528999424,2234960703966865152,9284885041306259456,3202292460853688320,2569001586781364736,-26307911837475560,1399835482622544128,553725448417359168,4677676758023647232,4921555074955390976,-4301816961899384320,-26307911837475560,4921555074955390976,4921555074955390976,-4301816961899384320,4921555074955390976,-26307911837475560,-4301816961899384320,4921555074955390976,4921555074955390976,6826462426133549,-26307911837475560,-26307911837475560,-26307911837475560,4921555074955390976,-4301816961899384320,4921555074955390976,4921555074955390976,-4301816961899384320,4921555074955390976
COP	10	2	7	452545898111927808,202867446902836256,160932338893034304,352437323220788800,141776774474533120,535089698993421504,20974639923369056,446795568821201792,190503220098125504,-7110183001565657,195781193509109728,196791933057366272,490930769982480576,505565373184262464,164500152288145024,20974639923369056,162702220277103360,94625586098574016,-7110183001565657,581787259837337984,612337267834503808,329713059881018048,365570779406794432,20974639923369056,201705702194820160,601388403891220096,-7110183001565657,613071489438272512,-539850015168574528,613071489438272512,20974639923369056,613071489438272512,-539850015168574528,-7110183001565657,613071489438272512,-539850015168574528,20974639923369056,613071489438272512,613071489438272512,-7110183001565657,613071489438272512,20974639923369056,-539850015168574528,613071489438272512,-7110183001565657,64789742534787272,20974639923369060,20974639923369060,-21963043357583668,613071489438272512,-539850015168574528,-7110183001565657,613071489438272512,-7110183001565657,7445241401724977
COP	10	2	8	7463861645907803136,813200224653370368,-1968837626185082880,1388604483045072896,9409008586923870208,-44638169354231296,2838434928557467648,2841028105477318656,1656078409419859968,1768757905617239040,1720861967662203904,813200224653370496,813200224653370496,813200224653370496,-94461518355463184,813200224653370496,813200224653370496,813200224653370496,813200224653370496,11462385879237373952,-686673377986256768,3311412736951914496,-44638169354231296,5905149199987341312,2285833630690647040,8127058648235594752,1056980362145415296,6223514063748024320,9787634774403143680,-44638169354231296,5552564652864512000,3176183547047899136,5251422094831002624,8395204566649310208,9920217232889405440,-44638169354231296,-8526526840820146176,9920217232889405440,9920217232889405440,-8526526840820146176,5185179647000625,-44638169354231296,-44638169354231296,-44638169354231296,-44638169354231296,9920217232889405440,-8526526840820146176,9920217232889405440,9920217232889405440,9920217232889405440,-8526526840820146176,9920217232889405440,9920217232889405440,-8526526840820146176,9920217232889405440
COP	10	2	9	13491984695608838144,737438014225496832,2154785821147538944,-983671328531989120,3038199998092667392,7523446023460251648,2931325112887386624,-51212268364324008,6516649899711252480,8807148419135181824,1632747279295090432,737438014225496832,737438014225496832,737438014225496832,737438014225496832,737438014225496832,-113388095304795920,737438014225496832,737438014225496832,9480372744968919040,-2588316108787962368,7509362593345315840,1059406991499314560,1483846574391805440,-51212268364324008,1797771563068891648,9303588885763915776,17236883551974557696,9146476453353111552,3515543199732056576,2718019618984667648,-51212268364324008,8425809729132854272,8760504190196741120,10022985878020745216,-8423758195688807424,10022985878020745216,-51212268364324008,10022985878020745216,-8423758195688807424,10022985878020745216,-8423758195688807424,-51212268364324008,10022985878020745216,10022985878020745216,10022985878020745216,-51212268364324008,-8423758195688807424,10022985878020745216,7874372427311715,-51212268364324008,-51212268364324008,10022985878020745216,-8423758195688807424,10022985878020745216
COP	10	2	10	1057047013262667520,26851713167227324,-7819290087729657,51616970730858368,489333789020953472,544331104075318016,196069290077472544,422065987627078016,431097398721047424,477769384993892480,53235324404688424,-15502267652058180,26851713167227324,26851713167227324,26851713167227324,26851713167227324,26851713167227324,26851713167227324,26851713167227324,4514301453846020,-7819290087729658,-7819290087729658,-7819290087729658,-7819290087729658,-7819290087729658,-7819290087729658,-7819290087729658,1333848837021841664,10015631826202848,452657150849373824,106351525991660000,148579009008376864,555500894061053312,504271060935692544,662958167396707456,429157228462274304,162023954805080736,383136575456891136,150848843315153824,291545081040496512,615291481276452608,-537630023330394368,615291481276452608,615291481276452608,-537630023330394368,615291481276452608,-537630023330394368,615291481276452608,615291481276452608,615291481276452608,-537630023330394368,615291481276452608,615291481276452608,-537630023330394368,615291481276452608
COP	10	2	11	20426087222198108,3732990546651423,3732990546651423,3732990546651423,3732990546651423,3732990546651423,3732990546651423,3732990546651423,-25128022033375832,3732990546651423,378493434354718272,-144193386404038400,-37515659309379360,305942845784891072,433334753066791040,289430896177673472,79439850748064064,-4592297471671435,435408528563991168,746674130515620736,181423818114060960,243273871644763776,408649950285864128,346045994568402560,167410597904732992,-4592297471671435,318294087220588864,378493434354718336,171112371766095040,124729311027417472,409229458783902784,531027546868174400,-4592297471671435,45106525438248448,595075968158434816,-557845536448412160,595075968158434816,595075968158434816,-4592297471671435,-557845536448412160,595075968158434816,-557845536448412160,595075968158434816,-4592297471671435,595075968158434816,595075968158434816,-557845536448412160,-4592297471671435,595075968158434816,595075968158434816,-4592297471671435,-557845536448412160,30912307601605980,-4592297471671435,595075968158434816
COP	10	2	12	1516521437020945408,22474994001152208,39207417154115824,3494088357980868,395174917357871104,218242486106676864,308806469282413632,583822748404878080,-7666992726689165,533872245069355520,66415360788568512,22474994001152212,22474994001152212,22474994001152212,22474994001152212,22474994001152212,22474994001152212,-22656561691642124,22474994001152212,1261680440685781760,42195084942642608,524896895389924928,347440529810659328,157928854208249920,419661756169707776,-7666992726689165,461660984941038592,1483207488100044032,496627925164261568,557871082222877376,158712329051623360,107045053013829120,-7666992726689165,353013068771942272,611186667774749184,-541734836832097856,611186667774749184,611186667774749184,-7666992726689165,-541734836832097856,611186667774749184,-541734836832097856,611186667774749184,-7666992726689165,611186667774749184,611186667774749184,-541734836832097856,-7666992726689165,611186667774749184,611186667774749184,-7666992726689165,-541734836832097856,7728931704840464,-7666992726689166,611186667774749184
COP	10	2	13	1165800709651457536,71113383591028624,-292980639358363200,510391889374294784,-12211004237334660,235471751138021568,1053982608691968256,1236029792718947328,441059022188689216,284004180366031936,156884999743565056,71113383591028656,71113383591028656,-26938999382453780,71113383591028656,71113383591028656,71113383591028656,71113383591028656,71113383591028656,1595272616912051712,-848092645712820480,-12211004237334660,366509526306075840,1017821113304786688,1089902226756718080,487784977773524672,660783666429487360,2427840484521932288,-12211004237334660,179384066432698176,1213994380295110656,348519294520152256,596053546333579776,1146608973102798848,4625742989540411,-12211004237334662,-12211004237334662,-12211004237334662,-12211004237334662,-12211004237334662,1242600088383715328,-1063242920829978624,1242600088383715328,1242600088383715328,-1063242920829978624,1242600088383715328,-1063242920829978624,1242600088383715328,1242600088383715328,1242600088383715328,-1063242920829978624,1242600088383715328,1242600088383715328,-1063242920829978624,1242600088383715328
COP	10	2	14	2298549408684793600,16763128451395210,190643063711478720,-7447724145992557,-398645220542134208,141443340533585856,130010663669998784,906440270129857024,983762506587634944,208161489797996096,93489043156193296,16763128451395210,-41536435523893376,16763128451395210,16763128451395210,16763128451395210,16763128451395210,16763128451395210,16763128451395210,2358261895681095680,-7447724145992557,423223743129165376,890698777126358272,1107957080089890304,467357401215807936,320296629462769472,164404688498293312,18454306705739972,-7447724145992559,-7447724145992559,-7447724145992559,-7447724145992559,-7447724145992559,-7447724145992559,2296758189094075648,170054296826198336,861109722294812672,484983626979929536,989262402891710720,703181777608607488,1210870152770990336,-1094972856442703616,1210870152770990336,1210870152770990336,-1094972856442703616,1210870152770990336,-1094972856442703616,1210870152770990336,1210870152770990336,1210870152770990336,-1094972856442703616,1210870152770990336,1210870152770990336,-1094972856442703616,1210870152770990336
COP	10	2	15	3221835599059333,-2553535324015252,-2553535324015252,-2553535324015252,-2553535324015252,-2553535324015252,-6406223412810451,-2553535324015252,-2553535324015252,-2553535324015252,155048988860922208,67481571400823904,-45352082434050704,135567682729544240,59718427553946944,5077390597745324,111889154621176752,114979005761413184,119126398640001696,214862831050884768,-17874227521752668,57007215177838528,10952358348589916,5077390597745324,98860035700117920,26528820844236508,121054014663152128,163002403766718080,136067737775442256,80485826882291792,5077390597745324,21782051998420876,34832260951427804,67974250050894672,146150425649477120,-142079950502234624,5077390597745324,146150425649477120,146150425649477120,-142079950502234624,146150425649477120,5077390597745324,-142079950502234624,146150425649477120,146150425649477120,12737986515147756,5077390597745324,5077390597745324,5077390597745324,146150425649477120,-142079950502234624,146150425649477120,146150425649477120,-142079950502234624,146150425649477120
COP	10	2	16	22847055351926832,-10579565051362064,-18055439859730752,-10579565051362064,-10579565051362064,-10579565051362064,-10579565051362064,-10579565051362064,-10579565051362064,-10579565051362064,544007195075798144,8360757987609431,82713982151648736,-162224759187398400,253036551788425984,431533173119068160,332062295602073408,125215961300823936,116525837216227136,14268749451813296,8360757987609431,8360757987609431,8360757987609431,8360757987609431,8360757987609431,8360757987609431,8360757987609431,919648051418150272,-30538021758393208,466457522994180992,590160430812888192,390355748439467648,304589472344176704,22622545888603720,460315956218196096,408248085985824704,518921361940520896,235378048232418368,95036079284982784,273139473001154112,592297385099401600,-560624119507445376,592297385099401600,592297385099401600,-560624119507445376,592297385099401600,-560624119507445376,592297385099401600,592297385099401600,592297385099401600,-560624119507445376,592297385099401600,592297385099401600,-560624119507445376,592297385099401600
